title,availability,price,category,shop,weight
Шкаф для кабинета врача ШКВ-03,1,39 870 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для кабинета врача ШКВ-04,1,36 590 руб.,Медицинская мебель,Железная мебель,[]
Шкаф палатный ШП-03,1,29 550 руб.,Медицинская мебель,Железная мебель,[]
Кушетка медицинская МД КС (Слоновая кость),1,11 710 руб.,Медицинская мебель,Железная мебель,['30']
Стол медицинский процедурный МД SP N,1,7 550 руб.,Медицинская мебель,Железная мебель,['12']
Стол манипуляционный МД SM 1,1,12 890 руб.,Медицинская мебель,Железная мебель,['18']
Стол процедурный МД SP 3N,1,11 810 руб.,Медицинская мебель,Железная мебель,['11.5']
Стол палатный MF TH-85.16S (Белое дерево),1,6 440 руб.,Медицинская мебель,Железная мебель,['18']
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса пластик)",1,6 540 руб.,Медицинская мебель,Железная мебель,['10']
Кушетка медицинская смотровая МД КС-01 (Слоновая кость),1,20 510 руб.,Медицинская мебель,Железная мебель,['40']
Банкетка медицинская МД Б (Слоновая кость),1,7 040 руб.,Медицинская мебель,Железная мебель,['15.3']
Кушетка смотровая КСВ-01С усиленная,1,10 620 руб.,Медицинская мебель,Железная мебель,['25']
Стол процедурный МД SP 3G,1,7 780 руб.,Медицинская мебель,Железная мебель,['15.7']
Стол процедурный МД SP 2G,1,6 380 руб.,Медицинская мебель,Железная мебель,['12.8']
Стол манипуляционный МД SM N,1,4 750 руб.,Медицинская мебель,Железная мебель,['10.1']
Стол процедурный МД SP 2N,1,8 750 руб.,Медицинская мебель,Железная мебель,['8.9']
Стол манипуляционный МД SM 6,1,27 510 руб.,Медицинская мебель,Железная мебель,['36.4']
Стол манипуляционный МД SM 2,1,19 530 руб.,Медицинская мебель,Железная мебель,['27.8']
Стол хирургический МД СХ,1,7 340 руб.,Медицинская мебель,Железная мебель,['9.4']
Столик туалетно-пеленальный МСК-510 (Белый),0,13 840 руб.,Медицинская мебель,Железная мебель,['25']
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса пластик) ",1,8 250 руб.,Медицинская мебель,Железная мебель,['12']
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса серая резина)",1,12 410 руб.,Медицинская мебель,Железная мебель,['20.5']
Банкетка БМВ-01С,1,10 780 руб.,Медицинская мебель,Железная мебель,['25']
Кушетка медицинская смотровая КСВ-01С,1,9 720 руб.,Медицинская мебель,Железная мебель,['25']
Банкетка медицинская МСК-207 (БЛ-МСК),0,5 660 руб.,Медицинская мебель,Железная мебель,['14']
Банкетка медицинская со спинкой МД БС (Слоновая кость),1,10 660 руб.,Медицинская мебель,Железная мебель,['22.1']
Банкетка БМВ-01,1,7 170 руб.,Медицинская мебель,Железная мебель,['15']
Банкетка медицинская МСК-216 (БЛ-МСК),0,4 870 руб.,Медицинская мебель,Железная мебель,['11']
"Кушетка смотровая КС-1 (550х1950х600) (кожзам Эконом серый, каркас белый)",1,11 330 руб.,Медицинская мебель,Железная мебель,[]
"Кушетка смотровая КС-1 (550х1950х800) (кожзам Эконом белый, каркас белый)",1,13 080 руб.,Медицинская мебель,Железная мебель,[]
"Кушетка смотровая с рег. подголовником КС (1950х600х550) (кожзам Эконом бежевый, каркас белый)",1,12 750 руб.,Медицинская мебель,Железная мебель,[]
Тумба медицинская ПРАКТИК МД ТП-1,1,7 490 руб.,Медицинская мебель,Железная мебель,['16.5']
Столик манипуляционный МСК-548,0,22 680 руб.,Медицинская мебель,Железная мебель,['18']
Столик стоматологический СС-04,1,15 400 руб.,Медицинская мебель,Железная мебель,['18']
Столик медицинский прикроватный МСК-6511 (СтПр-МСК),0,16 350 руб.,Медицинская мебель,Железная мебель,['15']
Столик медицинский для забора крови МСК-517 (СтМ-МСК),0,6 630 руб.,Медицинская мебель,Железная мебель,['15']
Столик процедурный МСК-501-01М,0,5 970 руб.,Медицинская мебель,Железная мебель,['11']
Столик процедурный МСК-501-02М,0,7 230 руб.,Медицинская мебель,Железная мебель,['11']
Стол медицинский для врача МД-301.13 (СМВ-МСК),0,6 570 руб.,Медицинская мебель,Железная мебель,['30']
Стол медицинский для врача МД-304.01 (СМВ-МСК),0,8 390 руб.,Медицинская мебель,Железная мебель,['35']
Стол медицинской сестры МД-901 (ПДМС-МСК),0,32 620 руб.,Медицинская мебель,Железная мебель,['90']
Стол медицинский инструментальный МСК-673.120.01 (СиМК-МСК),0,24 540 руб.,Медицинская мебель,Железная мебель,['25']
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса серая резина)",1,7 140 руб.,Медицинская мебель,Железная мебель,['10']
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса пластик)",1,11 800 руб.,Медицинская мебель,Железная мебель,['20.5']
"Стол медицинский инструментальный СМИ-03-01 (полки нерж., колёса серая резина)",1,14 450 руб.,Медицинская мебель,Железная мебель,['20.5']
"Стол медицинский инструментальный СМИ-02-02 (полки нерж., колёса серая резина)",1,15 170 руб.,Медицинская мебель,Железная мебель,['21.5']
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса пластик)",1,13 210 руб.,Медицинская мебель,Железная мебель,['21.5']
"Столик медицинский инструментальный СМИ-02-01 (полки металл, колёса пластик)",1,10 390 руб.,Медицинская мебель,Железная мебель,['16.5']
Тумба медицинская ПРАКТИК МД ТП-3,1,5 890 руб.,Медицинская мебель,Железная мебель,['12.5']
"Стол медицинский инструментальный СМИ-02 (полки нерж., колёса серая резина)",1,7 970 руб.,Медицинская мебель,Железная мебель,['10']
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса серая резина)",1,13 820 руб.,Медицинская мебель,Железная мебель,['21.5']
Тумба медицинская МД ТП-9,1,12 550 руб.,Медицинская мебель,Железная мебель,['23']
Стол рабочий Ср (1200х600х750) (ЛДСП белый),1,7 160 руб.,Медицинская мебель,Железная мебель,[]
"Стол медицинский инструментальный СМИ-02 (полки стекло, колёса пластик)",1,6 640 руб.,Медицинская мебель,Железная мебель,['10']
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса серая резина)",1,8 850 руб.,Медицинская мебель,Железная мебель,['12']
"Столик медицинский инструментальный СМИ-02-01 (полки металл + стекло, колёса пластик)",1,10 000 руб.,Медицинская мебель,Железная мебель,['16.5']
Стол инструментальный (колеса резина) СИ-2с (каркас белый),1,8 900 руб.,Медицинская мебель,Железная мебель,[]
Банкетка медицинская металлическая,1,9 460 руб.,Медицинская мебель,Железная мебель,['15']
Банкетка медицинская МСК-208 (БЛ-МСК),0,8 230 руб.,Медицинская мебель,Железная мебель,['20']
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),0,7 140 руб.,Медицинская мебель,Железная мебель,['22']
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),0,10 390 руб.,Медицинская мебель,Железная мебель,['20']
Банкетка медицинская Б01 (Чёрный),1,6 110 руб.,Медицинская мебель,Железная мебель,['8']
Банкетка медицинская со спинкой БС01 (Чёрный),1,10 170 руб.,Медицинская мебель,Железная мебель,['13']
Диван медицинский (банкетка) Д01 (Чёрный),1,12 630 руб.,Медицинская мебель,Железная мебель,['18']
Банкетка одноместная БО-2/1 (кожзам Эконом белый),1,10 050 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)",1,14 200 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)",1,9 580 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)",1,5 170 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)",1,6 120 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)",1,8 060 руб.,Медицинская мебель,Железная мебель,[]
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)",1,7 520 руб.,Медицинская мебель,Железная мебель,[]
Кушетка медицинская смотровая К01 (Чёрный),1,13 950 руб.,Медицинская мебель,Железная мебель,[]
Кушетка медицинская смотровая К02 (Чёрный),1,13 950 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШСС-1,1,18 690 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1,1,16 980 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1 с трейзером,1,19 320 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1,1,20 860 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2,1,21 380 руб.,Медицинская мебель,Железная мебель,['43']
Органайзер для СИПС-Н-01,1,3 370 руб.,Медицинская мебель,Железная мебель,[]
Табурет винтовой Т04 (Чёрный),1,4 770 руб.,Медицинская мебель,Железная мебель,[]
Табурет Т04-1 (Чёрный),1,5 700 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШСС-2,1,22 030 руб.,Медицинская мебель,Железная мебель,['45']
Шкаф медицинский ШМС-1-Т-Р-1,1,22 140 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Т,1,22 410 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Р-1,1,23 300 руб.,Медицинская мебель,Железная мебель,[]
Аптечка G32/1,1,3 290 руб.,Медицинская мебель,Железная мебель,['1.7']
Аптечка G45/2,1,6 830 руб.,Медицинская мебель,Железная мебель,['5.5']
Аптечка D36,1,7 060 руб.,Медицинская мебель,Железная мебель,['5']
Шкаф медицинский ШМС-1-А-Р-1,1,23 760 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-Р-2,1,25 170 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2 с трейзером,1,24 880 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Т-Р-1,1,26 470 руб.,Медицинская мебель,Железная мебель,[]
Аптечка G39,1,2 500 руб.,Медицинская мебель,Железная мебель,['2']
Рециркулятор бактерицидный с корпусом из нержавеющей стали МСК-5911Б,1,19 470 руб.,Медицинская мебель,Железная мебель,['8']
Шкаф медицинский ШМС-2-Р-2-Ц,1,26 930 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-Т-Р-3,1,27 550 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Р-3,1,28 720 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Р-2/1,1,29 200 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-1 (Чёрный),1,3 280 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-2 (Чёрный),1,3 630 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-4 (Чёрный),1,4 280 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-5 (телескопическая) (Чёрный),1,3 610 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-6 (с флаконом 1 л) (Чёрный),1,2 920 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-2-Р-2-Ц,1,30 030 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Т-Р-2/1,1,31 910 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-А-Р-2,1,33 110 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский для инструментария и медикаментов,1,34 740 руб.,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-7 (Чёрный),1,3 870 руб.,Медицинская мебель,Железная мебель,[]
Держатель для антисептика настенный локтевой ДЛТ-1 (с флаконом 1 л) (Чёрный),1,1 380 руб.,Медицинская мебель,Железная мебель,[]
Держатель для антисептика настенный локтевой ДЛТ-1 (без флакона) (Чёрный),1,1 380 руб.,Медицинская мебель,Железная мебель,[]
Подлокотник (второй) к креслу КСЭМ-05,0,5 730 руб.,Медицинская мебель,Железная мебель,[]
Плевательница к креслу КСЭМ-05,0,19 110 руб.,Медицинская мебель,Железная мебель,[]
Светильник галогеновый к креслу КСЭМ-05,0,38 250 руб.,Медицинская мебель,Железная мебель,[]
Светильник светодиодный к креслу КСЭМ-05,0,51 630 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-Р-4/2,1,35 090 руб.,Медицинская мебель,Железная мебель,[]
Инфузионная стойка к креслу КСЭМ-05-01,0,12 540 руб.,Медицинская мебель,Железная мебель,[]
комплект колёс к креслу КСЭМ-05-01,0,3 840 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для кабинета врача ШКВ-01,1,33 070 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для уборочного инвентаря МСК-649 (ШМм-МСК-649),1,24 430 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МД 2 ШМ,1,18 860 руб.,Медицинская мебель,Железная мебель,['47']
Шкаф медицинский HILFE МД 1 ШМ-SSD,1,31 470 руб.,Медицинская мебель,Железная мебель,['43']
Медицинский шкаф HILFE МД 2 ШМ-SSR,1,42 760 руб.,Медицинская мебель,Железная мебель,['58']
Медицинский шкаф HILFE МД 2 ШМ-SSK,1,58 390 руб.,Медицинская мебель,Железная мебель,['70']
